Depot,Fleet Number,Vehicle Registration Number,Vehicle Make,Vehicle Model,Vehicle Operator,is AC?,Service Type,Registration Date,Status
Tondiarpet-2 Depot,J0882,TN01AN1591,Ashok Leyland,BS-4,MTC,No,Ordinary,07-09-2016,Active
Tondiarpet-2 Depot,J0170,TN01AN0474,Ashok Leyland,BS-4,MTC,No,Ordinary,04-09-2012,Active
Tambaram Depot,J0942,TN01AN1831,Ashok Leyland,BS-4,MTC,No,Express,03-01-2019,Active
Tambaram Depot,J0965,TN01AN1832,Ashok Leyland,BS-4,MTC,No,Express,12-02-2019,Active
Tambaram Depot,J0304,TN01AN0767,Tata,BS-4,MTC,No,Small Bus,18-02-2014,Active
Tambaram Depot,J1002,TN01AN1918,Ashok Leyland,BS-4,MTC,No,Ordinary,12-02-2019,Active
Tondiarpet-2 Depot,J0167,TN01AN0510,Ashok Leyland,BS-4,MTC,No,Ordinary,04-09-2012,Active
Tondiarpet-2 Depot,J0186,TN01AN0531,Ashok Leyland,BS-4,MTC,No,Ordinary,10-09-2012,Active
Tondiarpet-2 Depot,J1546,TN01AN2926,Ashok Leyland,BS-4,MTC,No,Ordinary,18-07-2019,Active
Chromepet-1 Depot,J1464,TN01AN2634,Ashok Leyland,BS-4,MTC,No,Ordinary,27-06-2019,Active
Chromepet-1 Depot,J1463,TN01AN2665,Ashok Leyland,BS-4,MTC,No,Ordinary,27-06-2019,Active
Chromepet-1 Depot,J1462,TN01AN2692,Ashok Leyland,BS-4,MTC,No,Ordinary,27-06-2019,Active
Chromepet-1 Depot,J1421,TN01AN2547,Ashok Leyland,BS-4,MTC,No,Ordinary,24-06-2019,Active
Chromepet-1 Depot,J1291,TN01AN2442,Ashok Leyland,BS-4,MTC,No,Ordinary,19-06-2019,Active
Chromepet-1 Depot,J1290,TN01AN2559,Ashok Leyland,BS-4,MTC,No,Ordinary,23-06-2019,Active
Chromepet-1 Depot,J1286,TN01AN2433,Ashok Leyland,BS-4,MTC,No,Ordinary,19-06-2019,Active
Chromepet-1 Depot,J0872,TN01AN1596,Ashok Leyland,BS-4,MTC,No,Ordinary,07-09-2016,Active
Chromepet-1 Depot,J0849,TN01AN1660,Ashok Leyland,BS-4,MTC,No,Ordinary,07-09-2016,Active
Chromepet-1 Depot,J0848,TN01AN1671,Ashok Leyland,BS-4,MTC,No,Ordinary,07-09-2016,Active
Chromepet-1 Depot,J0774,TN01AN1518,Ashok Leyland,BS-4,MTC,No,Ordinary,01-05-2016,Active
Chromepet-1 Depot,J0227,TN01AN0559,Ashok Leyland,BS-4,MTC,No,Ordinary,21-11-2012,Active
